k,lambda,learn_rate,tolerance,auprc,auroc,sn,sp,prec,acc,f1
5,20.0,0.1,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,20.0,0.01,0.0001,0.0248407964,0.500002995,0.999950902,0.000692175931,0.0497116514,0.0503366182,0.09471465
5,20.0,0.01,0.001,0.0248408,0.50000299,0.99965631,0.00461593,0.04988387,0.0540508,0.09502585
5,20.0,0.001,0.0001,0.0248408,0.50000299,0.99947629,0.00636049,0.04995852,0.05569974,0.09516048
5,20.0,0.001,0.001,0.02525957,0.48460403,0.99963995,0.04250508,0.05175486,0.09005675,0.09841446
5,20.0,0.0001,0.0001,0.02550329,0.49936156,0.99893621,0.06790511,0.05305494,0.11415992,0.10075845
5,20.0,0.0001,0.001,0.03334145,0.47326889,0.90995385,0.34515451,0.06772485,0.37321446,0.12606695
5,20.0,1e-05,0.0001,0.03653287,0.53680772,0.90532225,0.34671683,0.06755367,0.37446905,0.12572588
5,20.0,1e-05,0.001,0.04599133,0.50028018,0.85344179,0.20478226,0.05312557,0.23700849,0.10002474
10,0.01,0.1,0.0001,0.42853516,0.51472737,0.79403293,0.31130206,0.05684795,0.33528474,0.1060998
10,0.01,0.1,0.001,0.42853409,0.53700476,0.76823999,0.64528422,0.10170847,0.65139282,0.17963481
10,0.01,0.01,0.0001,0.4286407,0.56154582,0.76737259,0.65054185,0.10297654,0.65634615,0.18158546
